Grupo economico;Mensagem enviada? ;Cluster 2024;Vendas SLM 2023;Vendas SLM 24;Meta 2024;Gap;% Atingimento Meta;Vendas Plano 5K;Usa CRM ?;Total de Leads 90 dias;Habilitação Voucher;INADIMPLÊNCIA FDMP;INADIMPLÊNCIA ROY;Turmas usando Portifólio com familia;Número de Planejamentos;Meta formalizada?;Direito a voucher?;Motivo ;OBS ATIVO ;Observações;Quantidade de vouchers;Código do voucher ;Voucher enviado ;De acordo?;Atualizado CRM? ;Kit de Rematrícula;Observação Kit 
MAPLE BEAR SANTA BÁRBARA DO OESTE - JARDIM MOLLON;;Potente;215;211;242;31;87,20%;2;NÃO USA CRM;117;5%;;;;25;;Não ;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;12;MBSP2025157;;;;;
MAPLE BEAR NITERÓI - São Francisco/ Santa Rosa;;Alerta;143;228;255;-47;89,00%;5;NÃO USA CRM;121;5%;;;15;15;;Sim ;Unifiquei os dados com Santa Rosa ;;;11;MBRJ2025202;Sim ;N/A;Sim;;
MAPLE BEAR UBERABA;;Potente;179;227;216;-11;104,92%;3;NÃO USA CRM;120;5%;;;;17;;Sim;Portifólio;;LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;11;MBMG2025174;Sim;Sim;Sim;;
MAPLE BEAR SÃO PAULO - GRANJA VIANA;ok;Alerta;249;215;220;5;97,67%;;NÃO USA CRM;75;5%;;;;66;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;11;MBSP2025147;Sim;Sim;Sim;;
MAPLE BEAR MOGIANA RESIDENCIAL DO BOSQUE;;Potente;200;227;238;11;95,53%;11;NÃO USA CRM;115;5%;;;;26;;Sim;Portifólio;;VOUCHERS LIBERADOS,UTILIZAÇÃO LIBERADA SOMENTE PARA ALUNOS;11;MBSP2025166;Sim;Sim;Sim;;
MAPLE BEAR SÃO PAULO - JAGUARÉ/PARQUE DOS PRINCÍPES;;Alerta;184;210;220;10;95,28%;4;NÃO USA CRM;134;5%;;;;28;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE ;11;MBSP2025237;Sim;Sim;Sim;;
MAPLE BEAR RIO DE JANEIRO - RECREIO DOS BANDEIRANTES;ok;Alta Performance;227;223;247;24;90,21%;1;NÃO USA CRM;121;5%;;;;29;;Sim;Portifólio;Alinhado com Ramires, a liberação dos vouchers sem falar nesse momento sobre a Toddle. Essa escola está passando por renovação de contrato e não é interessante nesse momento tratar sobre o portifólio.;LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;11;MBRJ2025152;Sim;N/A;Sim;;
MAPLE BEAR ATIBAIA - RESSACA;;Desenvolvimento;222;216;270;54;80,04%;2;NÃO USA CRM;45;5%;;;3;;;Sim;;;;11;MBSP2025155;Sim ;;Sim;;
MAPLE BEAR CAMPINAS - PARQUE TAQUARAL;;Stand by;171;195;177;-18;110,43%;5;NÃO USA CRM;243;5%;;;;16;;Não ;Portifólio;;NÃO CONTATAR;10;MBSP2025179;;;;;
MAPLE BEAR PONTA GROSSA - ESTRELA;ok;Potente;149;203;205;2;99,21%;;USA CRM;153;5%;;;;14;;Sim ;Portifólio;Owner informa que havia um planejamento na escola, com a utilização do planejamento no primeiro semestre, e a utilização do portifólio já estava prevista para o segundo semestre. ;LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;10;MBPR2025197;Sim;;;;
MAPLE BEAR PAULÍNIA;;Potente;156;201;206;5;97,42%;8;NÃO USA CRM;96;5%;;;;18;;Sim;Portifólio;;DEVIDO A SITUAÇÃO DE CAMPINAS TAQUARAL, ESSA ESCOLA ESTÁ NOS AJUDANDO, ALINHEI COM RAMIRES DE CONCEDER OS VOUCHERS, SEM O COMPROMISSO DE UTILIZAÇÃO DO PORTIFÓLIO ;10;MBSP2025181;Sim;Sim;Sim;;
MAPLE BEAR LONDRINA - NIKKO;;Potente;196;195;212;17;91,89%;2;NÃO USA CRM;74;5%;;;;26;;Não ;Portifólio;Liberar om compromisso de Toddle , Londrina tenho acerto de Roy, não cobrar;GERAR VOUCHERS A 5% POIS APÓS ANALISE DO TIME FINANCEIRO, ESSA ESCOLA NÃO É OFENSORA EM INADIMPLENCIA. OS VOUCHERS SERÃO CONCEDIDOS MEDIANTE COMPROMISSO DE UTILIZAÇÃO DA TODDLE;10;MBPR2025169;Sim;;;;
