"Modelo","ID do modelo","Tipo de documento","Titular","Usadas","Publicado","Compartilhados"
"Moldura Feed","EAGryaO3GSI","1080 x 1350 px","Maple Bear | Comunicação",0,3,0
"Whatsapp_Faltam_poucos_dias","EAGryaNfTCg","Post para Instagram","Maple Bear | Comunicação",0,0,0
"Moldura Post","EAGryaM6kSU",,"Maple Bear | Comunicação",0,0,0
"12 - DEZEMBRO","EAGryaLsbWI","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Capa Linkedin","EAGryaHSvPA",,"Maple Bear | Comunicação",0,0,0
"02. Fevereiro - Feed","EAGryaH82eA","Post para Instagram","Maple Bear | Comunicação",0,0,0
"Reforma Tributária.pdf","EAGryaGxZz4","Catálogo","Maple Bear | Comunicação",0,0,0
"Termo de Uso de Imagem.pdf","EAGryaFJPR0","Folha com moldura (A4)","Maple Bear | Comunicação",0,1,0
"Elementos_Arraial_Maple_Bear","EAGryaDSEn0",,"Maple Bear | Comunicação",0,0,0
"Halloween Solidário - Vivo e Não Vivo - A5","EAGryaAMucc",,"Maple Bear | Comunicação",0,0,0
"Instagram - Post 01","EAGrya9EeTQ","1080 x 1350 px","Maple Bear | Comunicação",0,6,0
"Cards ELE - A5","EAGrya8jcr0",,"Maple Bear | Comunicação",0,0,0
"MAPLE BEAR NA ABRIN 2025","EAGrya7M3DY","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Cards ECE - A5","EAGrya6A7VY",,"Maple Bear | Comunicação",0,0,0
"Feed - Estáticos - 1080x1350","EAGrya4FkkA","Post para Instagram (4:5)","Maple Bear | Comunicação",0,0,0
"Maple Bear São Luís - College Week ","EAGrya3txJ4",,"Maple Bear | Comunicação",0,0,0
"Maple Bear Busca Vida - Roars: Código de Conduta","EAGrya1jmsM",,"Maple Bear | Comunicação",0,0,0
"08 - Condição Especial - Agosto","EAGrya1CQDw","Post para Instagram","Maple Bear | Comunicação",0,0,0
"FEED_Carrossel_03_Montreal","EAGrya0FEe4","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Instagram Post - 1080 x 1350px","EAGrya01Bsc",,"Maple Bear | Comunicação",0,0,0
"Apresentação André Quintela - Encontro Dezembro.pdf","EAGryZzG4Tw","Capa para perfil do Zoom","Maple Bear | Comunicação",0,0,0
"Stories - Carrossel 02","EAGryZvX89s","Story","Maple Bear | Comunicação",0,0,0
"Maple Bear Bauru - Do Bridges ao Math Plus ","EAGryZuI5nQ",,"Maple Bear | Comunicação",0,0,0
"Magazine Ad - 214mm x 285mm","EAGryZsox74",,"Maple Bear | Comunicação",0,0,0
"Régua de Aquecimento - 1080 x 1080px","EAGryZo1gzQ",,"Maple Bear | Comunicação",0,0,0
"Performance - Carrossel 01","EAGryZnFWpA",,"Maple Bear | Comunicação",0,0,0
"Halloween Solidário - Stories - Carrossel","EAGryZmXUX8",,"Maple Bear | Comunicação",0,0,0
"Livreto ELE - Sem Livro Recomendado - A5","EAGryZj_TCo","A5","Maple Bear | Comunicação",0,0,0
"Maple Bear Sinop - Otimização de oferta de contraturno","EAGryZhwxwU",,"Maple Bear | Comunicação",0,0,0
"Instagram - Post 04","EAGryZg8R14","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Performance - Carrossel 1","EAGryZfkLSo","Anúncio para feed","Maple Bear | Comunicação",0,0,0
"NPS Lembrete - 15 x 10cm","EAGryZfKJJI",,"Maple Bear | Comunicação",0,0,0
"Régua de Aquecimento - 1080 x 1080","EAGryZeU6Zo","Post para Instagram","Maple Bear | Comunicação",0,0,0
"Alimentação Saúdável - Cardápio (1).docx","EAGryZbc3eI","Doc","Maple Bear | Comunicação",0,0,0
"Cópia de Posts - 1080 x 1350","EAGryZZsBvA","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Operacionalização do Report Card - Planejamento e estruturação para uma entrega eficiente.pdf","EAGryZZgg58","A4","Maple Bear | Comunicação",0,0,0
"Final Editável","EAGryZZfWI0","Vídeo","Maple Bear | Comunicação",0,0,0
"Alerta Coqueluche.pdf","EAGryZZKge8","Catálogo","Maple Bear | Comunicação",0,0,0
"Reels Lançamento","EAGryZY0_so","Vídeo para dispositivos móveis","Maple Bear | Comunicação",0,0,0
"Pop Socket - 4x4cm","EAGryZWp0g4",,"Maple Bear | Comunicação",0,0,0
"Cards - Emotions - A6","EAGryZOZuVM",,"Maple Bear | Comunicação",0,0,0
"Arraiá Maple Bear - Convite","EAGryZOVfFY",,"Paula Kopczynski",0,0,0
"SLM+ 6X - Contagem Regressiva - 1080 x 1080px","EAGryZOF_xg","Post para Instagram","Maple Bear | Comunicação",0,0,0
"Moldura Post","EAGryZN39C0",,"Maple Bear | Comunicação",0,0,0
"Folders Campanha 2024","EAGryZLapjw",,"Maple Bear | Comunicação",0,0,0
"Instagram Post - 1080 x 1350px","EAGryZKbSnc",,"Maple Bear | Comunicação",0,0,0
"Instagram - Post Carrossel 04","EAGryZCOEdU","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Stories - Carrossel 2","EAGryZBjgyQ","Story","Maple Bear | Comunicação",0,0,0
