"Modelo","ID do modelo","Tipo de documento","Titular","Usadas","Publicado","Compartilhados"
"Stories - Carrossel 2","EAGryTz5hqU","Story","Maple Bear | Comunicação",0,0,0
"ALI - Layout PPT","EAGryTxt1OQ","Apresentação","Maple Bear | Comunicação",0,0,0
"After school.pdf","EAGryTxsCmg","Catálogo","Maple Bear | Comunicação",0,0,0
"BYLAWS MAC 2025.pdf","EAGryTwlnns","A4","Maple Bear | Comunicação",0,0,0
"Como se inscrever","EAGryTvzcpA","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Observações/Alergias","EAGryTta6MU",,"Maple Bear | Comunicação",0,0,0
"Moldura Stories - 1080 x 1920 px","EAGryTtYUKc",,"Maple Bear | Comunicação",0,0,0
"Magazine Ad - 419mm x 285mm","EAGryTtKHAo",,"Maple Bear | Comunicação",0,0,0
"Festa Junina 2024","EAGryTrzRng",,"Maple Bear | Comunicação",0,27,0
"Halloween Solidário - Stories - Labirinto","EAGryTrz7BY",,"Maple Bear | Comunicação",0,0,0
"Banner Maior - 120 x 180cm","EAGryTqlxXA",,"Maple Bear | Comunicação",0,0,0
"Bate-Papo MB - Feed Carrossel - 1080 x 1350","EAGryToh8FM","1080 x 1350 px","Maple Bear | Comunicação",0,2,0
"Post Carrossel 05","EAGryToIm1k","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Cópia de Cópia de Papel Timbrado - A4","EAGryTgmwuc","Documento (A4)","Maple Bear | Comunicação",0,0,0
"Dia das mães.pdf","EAGryTe8g98","Catálogo","Maple Bear | Comunicação",0,0,0
"1- JANEIRO","EAGryTc4mas","Post para Instagram","Maple Bear | Comunicação",0,0,0
"Halloween Solidário - Quebra-Cabeças - 20x27cm - Sangria 5mm","EAGryTaACAs",,"Maple Bear | Comunicação",0,0,0
"Fator Global: Visão de Mundo para Uma Educação Sem Fronteiras.pdf","EAGryTZLPlI",,"Maple Bear | Comunicação",0,0,0
"Magazine Ad - 419mm x 285mm - 2024","EAGryTZCths",,"Maple Bear | Comunicação",0,0,0
"Posts - 1080 x 1350","EAGryTYxrDM",,"Maple Bear | Comunicação",0,0,0
